date,group_num,called
2024-01-17,1,1
2024-01-17,2,1
2024-01-17,3,1
2024-01-17,4,1
2024-01-17,5,0
2024-01-17,6,0
2024-01-17,7,0
2024-01-23,1,1
2024-01-23,2,1
2024-01-23,3,1
2024-01-23,4,1
2024-01-23,5,0
2024-01-23,6,0
2024-01-23,7,0
2024-01-23,8,0
2024-01-23,9,0
2024-01-23,10,0
2024-01-24,1,1
2024-01-24,2,1
2024-01-24,3,1
2024-01-24,4,0
2024-01-24,5,0
2024-01-24,6,0
2024-01-24,7,0
2024-01-24,8,0
2024-01-24,9,0
2024-01-24,10,0
2024-01-24,11,0
2024-01-24,12,0
2024-01-31,1,1
2024-01-31,2,1
2024-01-31,3,0
2024-01-31,4,0
2024-01-31,5,0
2024-01-31,6,0
2024-01-31,7,0
2024-01-31,8,0
2024-01-31,9,0
2024-01-31,10,0
2024-01-31,11,0
2024-01-31,12,0
2024-02-01,1,1
2024-02-01,2,0
2024-02-01,3,0
2024-02-01,4,0
2024-02-01,5,0
2024-02-01,6,0
2024-02-01,7,0
2024-02-01,8,0
2024-02-01,9,0
2024-02-01,10,0
2024-02-05,1,1
2024-02-05,2,1
2024-02-05,3,1
2024-02-05,4,1
2024-02-05,5,1
2024-02-05,6,0
2024-02-05,7,0
2024-02-05,8,0
2024-02-05,9,0
2024-02-06,1,1
2024-02-06,2,0
2024-02-06,3,0
2024-02-06,4,0
2024-02-06,5,0
2024-02-06,6,0
2024-02-06,7,0
2024-02-06,8,0
2024-02-06,9,0
2024-02-07,1,1
2024-02-07,2,0
2024-02-07,3,0
2024-02-07,4,0
2024-02-07,5,0
2024-02-07,6,0
2024-02-07,7,0
2024-02-07,8,0
2024-02-07,9,0
2024-02-07,10,0
2024-02-08,1,1
2024-02-08,2,0
2024-02-08,3,0
2024-02-08,4,0
2024-02-08,5,0
2024-02-08,6,0
2024-02-08,7,0
2024-02-08,8,0
2024-02-08,9,0
2024-02-08,10,0
2024-02-13,1,1
2024-02-13,2,0
2024-02-13,3,0
2024-02-13,4,0
2024-02-13,5,0
2024-02-13,6,0
2024-02-13,7,0
2024-02-13,8,0
2024-02-13,9,0
2024-02-14,1,1
2024-02-14,2,0
2024-02-14,3,0
2024-02-14,4,0
2024-02-14,5,0
2024-02-14,6,0
2024-02-14,7,0
2024-02-14,8,0
2024-02-14,9,0
2024-02-14,10,0
2024-02-14,11,0
2024-02-14,12,0
2024-02-15,1,1
2024-02-15,2,0
2024-02-15,3,0
2024-02-15,4,0
2024-02-15,5,0
2024-02-15,6,0
2024-02-15,7,0
2024-02-15,8,0
2024-02-15,9,0
2024-02-15,10,0
2024-02-20,1,1
2024-02-20,2,1
2024-02-20,3,1
2024-02-20,4,0
2024-02-20,5,0
2024-02-20,6,0
2024-02-20,7,0
2024-02-20,8,0
2024-02-20,9,0
2024-02-21,1,1
2024-02-21,2,1
2024-02-21,3,0
2024-02-21,4,0
2024-02-21,5,0
2024-02-21,6,0
2024-02-21,7,0
2024-02-21,8,0
2024-02-21,9,0
2024-02-21,10,0
2024-02-21,11,0
2024-02-21,12,0
2024-02-26,1,1
2024-02-26,2,1
2024-02-26,3,1
2024-02-26,4,1
2024-02-26,5,1
2024-02-26,6,1
2024-02-26,7,0
2024-02-26,8,0
2024-02-26,9,0
2024-02-27,1,1
2024-02-27,2,0
2024-02-27,3,0
2024-02-27,4,0
2024-02-27,5,0
2024-02-27,6,0
2024-02-27,7,0
2024-02-27,8,0
2024-02-27,9,0
2024-02-28,1,1
2024-02-28,2,0
2024-02-28,3,0
2024-02-28,4,0
2024-02-28,5,0
2024-02-28,6,0
2024-02-28,7,0
2024-02-28,8,0
2024-02-28,9,0
2024-02-28,10,0
2024-02-28,11,0
2024-02-28,12,0
2024-02-29,1,1
2024-02-29,2,0
2024-02-29,3,0
2024-02-29,4,0
2024-02-29,5,0
2024-02-29,6,0
2024-02-29,7,0
2024-02-29,8,0
2024-02-29,9,0
2024-02-29,10,0
