Date,variable,passengers,date
2023-10-24,2023,2133622.0,2023-10-24
2023-10-23,2023,2603743.0,2023-10-23
2023-10-22,2023,2760352.0,2023-10-22
2023-10-21,2023,2161733.0,2023-10-21
2023-10-20,2023,2671897.0,2023-10-20
2023-10-19,2023,2684362.0,2023-10-19
2023-10-18,2023,2333408.0,2023-10-18
2023-10-17,2023,2212049.0,2023-10-17
2023-10-16,2023,2623372.0,2023-10-16
2023-10-15,2023,2785829.0,2023-10-15
2023-10-14,2023,2226278.0,2023-10-14
2023-10-13,2023,2673110.0,2023-10-13
2023-10-12,2023,2695875.0,2023-10-12
2023-10-11,2023,2361366.0,2023-10-11
2023-10-10,2023,2285808.0,2023-10-10
2023-10-09,2023,2676350.0,2023-10-09
2023-10-08,2023,2675250.0,2023-10-08
2023-10-07,2023,2228917.0,2023-10-07
2023-10-06,2023,2748633.0,2023-10-06
2023-10-05,2023,2683860.0,2023-10-05
2023-10-04,2023,2193658.0,2023-10-04
2023-10-03,2023,1989851.0,2023-10-03
2023-10-02,2023,2468894.0,2023-10-02
2023-10-01,2023,2675853.0,2023-10-01
2023-09-30,2023,2140635.0,2023-09-30
2023-09-29,2023,2602713.0,2023-09-29
2023-09-28,2023,2594802.0,2023-09-28
2023-09-27,2023,2132572.0,2023-09-27
2023-09-26,2023,2054526.0,2023-09-26
2023-09-25,2023,2526268.0,2023-09-25
2023-09-24,2023,2671645.0,2023-09-24
2023-09-23,2023,2065096.0,2023-09-23
2023-09-22,2023,2684769.0,2023-09-22
2023-09-21,2023,2638133.0,2023-09-21
2023-09-20,2023,2198837.0,2023-09-20
2023-09-19,2023,1989431.0,2023-09-19
2023-09-18,2023,2494722.0,2023-09-18
2023-09-17,2023,2638689.0,2023-09-17
2023-09-16,2023,1978051.0,2023-09-16
2023-09-15,2023,2583460.0,2023-09-15
2023-09-14,2023,2584180.0,2023-09-14
2023-09-13,2023,2105523.0,2023-09-13
2023-09-12,2023,1988191.0,2023-09-12
2023-09-11,2023,2398612.0,2023-09-11
2023-09-10,2023,2571775.0,2023-09-10
2023-09-09,2023,1984276.0,2023-09-09
2023-09-08,2023,2393743.0,2023-09-08
2023-09-07,2023,2267836.0,2023-09-07
2023-09-06,2023,1958730.0,2023-09-06
2023-09-05,2023,2237980.0,2023-09-05
2023-09-04,2023,2636833.0,2023-09-04
2023-09-03,2023,2074848.0,2023-09-03
2023-09-02,2023,2082990.0,2023-09-02
2023-09-01,2023,2727888.0,2023-09-01
2023-08-31,2023,2599387.0,2023-08-31
2023-08-30,2023,2005559.0,2023-08-30
2023-08-29,2023,1879838.0,2023-08-29
2023-08-28,2023,2339838.0,2023-08-28
2023-08-27,2023,2531104.0,2023-08-27
2023-08-26,2023,2063356.0,2023-08-26
2023-08-25,2023,2509338.0,2023-08-25
2023-08-24,2023,2492828.0,2023-08-24
2023-08-23,2023,2155549.0,2023-08-23
2023-08-22,2023,2095330.0,2023-08-22
2023-08-21,2023,2479491.0,2023-08-21
2023-08-20,2023,2526168.0,2023-08-20
2023-08-19,2023,2252155.0,2023-08-19
2023-08-18,2023,2601048.0,2023-08-18
2023-08-17,2023,2591257.0,2023-08-17
2023-08-16,2023,2295943.0,2023-08-16
2023-08-15,2023,2265628.0,2023-08-15
2023-08-14,2023,2537577.0,2023-08-14
2023-08-13,2023,2672509.0,2023-08-13
2023-08-12,2023,2322724.0,2023-08-12
2023-08-11,2023,2648556.0,2023-08-11
2023-08-10,2023,2648442.0,2023-08-10
2023-08-09,2023,2397657.0,2023-08-09
2023-08-08,2023,2365795.0,2023-08-08
2023-08-07,2023,2593050.0,2023-08-07
2023-08-06,2023,2736096.0,2023-08-06
2023-08-05,2023,2403611.0,2023-08-05
2023-08-04,2023,2690660.0,2023-08-04
2023-08-03,2023,2658817.0,2023-08-03
2023-08-02,2023,2419866.0,2023-08-02
2023-08-01,2023,2352706.0,2023-08-01
2023-07-31,2023,2683055.0,2023-07-31
2023-07-30,2023,2793207.0,2023-07-30
2023-07-29,2023,2457939.0,2023-07-29
2023-07-28,2023,2785404.0,2023-07-28
2023-07-27,2023,2710923.0,2023-07-27
2023-07-26,2023,2374802.0,2023-07-26
2023-07-25,2023,2349592.0,2023-07-25
2023-07-24,2023,2674653.0,2023-07-24
2023-07-23,2023,2789694.0,2023-07-23
